player,week,position,form,pts_per_match,total_pts,total_bonus,ict_index,tsb_percent,fdr,pts_scored
Armstrong,22,4,2.2,2.4,43,2,53.5,1.1,3,1
G.Jesus,22,4,6.4,2.5,42,6,52.6,3.0,3,0
McGinn,22,3,1.8,2.3,42,1,61.6,0.7,5,0
M.Fernandes,22,3,1.6,2.2,42,0,83.1,0.0,3,2
Kilman,22,2,0.8,2.0,42,3,69.4,1.2,3,1
Antonio,22,4,0.0,3.0,42,3,39.5,1.0,3,0
Højlund,22,4,1.6,2.6,41,4,42.2,1.4,3,1
Barkley,22,3,2.4,2.5,40,5,50.3,0.3,5,0
A.Doucoure,22,3,2.0,2.2,40,0,45.2,0.2,4,2
Bassey,22,2,2.2,2.0,40,0,43.4,0.5,2,1
Justin,22,2,1.0,2.0,40,2,67.4,1.7,3,1
P.M.Sarr,22,3,1.2,1.9,40,1,51.9,0.3,3,0
Bailey,22,3,2.4,2.3,39,2,54.9,0.8,5,0
Onana,22,3,1.4,2.6,39,5,47.4,2.5,5,2
Hughes,22,3,2.0,2.2,39,3,58.5,0.1,2,3
Branthwaite,22,2,2.0,3.0,39,1,26.0,1.0,4,2
Gana,22,3,1.8,2.0,38,0,44.2,0.1,4,1
Hermansen,22,1,0.0,2.4,38,0,51.5,0.4,3,0
Archer,22,4,0.6,2.0,38,4,39.9,1.7,3,0
Bissouma,22,3,1.4,2.2,38,4,33.0,0.3,3,1
José Sá,22,1,4.6,2.7,38,1,32.1,1.8,4,1
